,CSP_TKE_RS,CSP_TKE_SH,CSP_TKE_BU,CSP_TKE_TR,CSP_TKE_DI,CSP_TKE_SGS,CSP_TKE,CSP_TKE_TEND,CSP_P
92,4.5555427e-07,5.6995944e-13,4.751572e-10,0.0,0.0,0.0,4.5555427e-07,4.7629706e-10,68631.57
93,4.616734e-07,1.7677904e-11,5.1083404e-10,0.0,0.0,0.0,4.616734e-07,5.4618987e-10,68631.555
94,4.6980387e-07,3.2195163e-11,5.117577e-10,0.0,0.0,0.0,4.6980387e-07,5.76148e-10,68631.54
95,4.7859345e-07,2.734368e-11,5.344326e-10,0.0,0.0,0.0,4.7859345e-07,5.8912e-10,68631.52
96,4.896684e-07,2.0970059e-11,5.2137217e-10,0.0,0.0,0.0,4.896684e-07,5.633123e-10,68631.51
97,4.9971675e-07,2.2816216e-11,4.515303e-10,0.0,0.0,0.0,4.9971675e-07,4.971627e-10,68631.49
98,5.053966e-07,5.051502e-11,2.9346356e-10,0.0,0.0,0.0,5.053966e-07,3.9449358e-10,68631.48
99,5.0848166e-07,9.8312594e-11,1.4629477e-10,0.0,0.0,0.0,5.0848166e-07,3.4291997e-10,68631.46
100,5.1415594e-07,1.5664944e-10,1.1843188e-12,0.0,0.0,0.0,5.1415594e-07,3.1448322e-10,68631.445
101,5.2750585e-07,2.1800396e-10,-2.364156e-10,0.0,0.0,0.0,5.2750585e-07,1.9959231e-10,68631.43
102,5.4760744e-07,2.672739e-10,-5.161811e-10,0.0,0.0,0.0,5.4760744e-07,1.8366697e-11,68631.414
103,5.75192e-07,2.9757366e-10,-7.8603546e-10,0.0,0.0,0.0,5.75192e-07,-1.9088817e-10,68631.4
104,6.10778e-07,3.2203495e-10,-1.0775815e-09,0.0,0.0,0.0,6.10778e-07,-4.3351156e-10,68631.38
105,6.5496494e-07,3.5345007e-10,-1.436165e-09,0.0,0.0,0.0,6.5496494e-07,-7.2926487e-10,68631.37
106,7.087106e-07,3.912904e-10,-1.9283692e-09,0.0,0.0,0.0,7.087106e-07,-1.1457886e-09,68631.35
107,7.718796e-07,4.2394038e-10,-2.4480924e-09,0.0,0.0,0.0,7.718796e-07,-1.6002115e-09,68631.34
108,8.437786e-07,4.3507814e-10,-2.9806377e-09,0.0,0.0,0.0,8.437786e-07,-2.1104813e-09,68631.33
109,9.2103375e-07,4.2386927e-10,-3.5614016e-09,0.0,0.0,0.0,9.2103375e-07,-2.713663e-09,68631.31
110,1.003306e-06,3.9175174e-10,-4.172714e-09,0.0,0.0,0.0,1.003306e-06,-3.3892105e-09,68631.305
111,1.0877789e-06,3.5014813e-10,-4.883899e-09,0.0,0.0,0.0,1.0877789e-06,-4.183603e-09,68631.29
112,1.1737375e-06,3.0891517e-10,-5.5661857e-09,0.0,0.0,0.0,1.1737375e-06,-4.9483555e-09,68631.27
113,1.2602067e-06,2.8423458e-10,-6.318379e-09,0.0,0.0,0.0,1.2602067e-06,-5.7499103e-09,68631.266
114,1.3547786e-06,2.6028935e-10,-7.0382358e-09,0.0,0.0,0.0,1.3547786e-06,-6.5176566e-09,68631.25
115,1.4621139e-06,2.0939123e-10,-7.553558e-09,0.0,0.0,0.0,1.4621139e-06,-7.1347754e-09,68631.234
116,1.5823302e-06,1.1964037e-10,-7.893646e-09,0.0,0.0,0.0,1.5823302e-06,-7.654365e-09,68631.22
117,1.7065965e-06,2.3697884e-11,-8.183301e-09,0.0,0.0,0.0,1.7065965e-06,-8.135906e-09,68631.21
118,1.8296264e-06,-2.8716226e-11,-8.597292e-09,0.0,0.0,0.0,1.8296264e-06,-8.654725e-09,68631.195
119,1.9507013e-06,9.9487155e-12,-9.285796e-09,0.0,0.0,0.0,1.9507013e-06,-9.265899e-09,68631.18
120,2.0795633e-06,1.3769676e-10,-9.97588e-09,0.0,0.0,0.0,2.0795633e-06,-9.700486e-09,68631.164
121,2.229556e-06,3.061902e-10,-1.06010525e-08,0.0,0.0,0.0,2.229556e-06,-9.988671e-09,68631.16
122,2.403867e-06,4.3907325e-10,-1.11553335e-08,0.0,0.0,0.0,2.403867e-06,-1.0277186e-08,68631.14
123,2.5905397e-06,4.652022e-10,-1.1367569e-08,0.0,0.0,0.0,2.5905397e-06,-1.0437165e-08,68631.13
124,2.7716774e-06,3.7534278e-10,-1.1583179e-08,0.0,0.0,0.0,2.7716774e-06,-1.0832494e-08,68631.12
125,2.9299135e-06,2.1946042e-10,-1.1849264e-08,0.0,0.0,0.0,2.9299135e-06,-1.1410344e-08,68631.11
126,3.0666424e-06,9.792277e-11,-1.213732e-08,0.0,0.0,0.0,3.0666424e-06,-1.19414745e-08,68631.09
